Time (h),CSF mean concentration (mmol/l),PAR mean concentration (mmol/l),PVS art. mean concentration (mmol/l),PVS vein mean concentration (mmol/l),PVS cont. mean concentration (mmol/l)
0.0,0.0,0.0,0.0,0.0,0.0
0.03333333333333333,0.0015407392606041524,2.288662717284304e-06,9.412862535223134e-14,3.3709126086990777e-13,1.8601850322734114e-39
0.06666666666666667,0.004620938629557746,8.608818419127898e-06,1.9501511292292214e-12,5.6031114423983475e-12,-3.4672843878588345e-32
0.1,0.009239556819638688,2.037883580974127e-05,2.0548775260080458e-11,4.7573100863684245e-11,-6.866633905127764e-31
0.13333333333333333,0.015395707469495609,3.880593706672843e-05,1.469330797164563e-10,2.7537588724606637e-10,-6.86976332402389e-30
0.16666666666666666,0.023088611346044712,6.495139240160933e-05,8.025955008182914e-10,1.2237714915747577e-09,-4.638643425385869e-29
0.2,0.03231756659290596,9.977095699727715e-05,3.57435284503458e-09,4.457716342949969e-09,-2.3817789810452913e-28
0.23333333333333334,0.043081929261190026,0.00014414107633136462,1.3526379468434033e-08,1.3875869439437235e-08,-9.931301673379018e-28
0.26666666666666666,0.05538109998301844,0.0001988763557286464,4.476062573822094e-08,3.799405701449876e-08,-3.506121142920419e-27
0.3,0.06921451426458605,0.0002647414947415526,1.3227896075994105e-07,9.348423163920138e-08,-1.0787204560523009e-26
0.3333333333333333,0.08458163468230778,0.00034245969108092066,3.547988907418666e-07,2.1010621776879533e-07,-2.954307622657309e-26
0.36666666666666664,0.10148194371284879,0.00043271881931267653,8.748343439652624e-07,4.369682442060293e-07,-7.31994156145358e-26
0.4,0.11991493620877564,0.0005361762409250124,2.003684819578925e-06,8.498460599600756e-07,-1.6619685341395502e-25
0.43333333333333335,0.13988011074010004,0.0006534627972823307,4.299551920943097e-06,1.5591419199253354e-06,-3.493805320192675e-25
0.4666666666666667,0.16137695920867914,0.0007851863245586833,8.706481877033635e-06,2.7180165627735175e-06,-6.85877501235788e-25
0.5,0.1844049543331306,0.0009319348825680537,1.6740075823077145e-05,4.530288465870617e-06,-1.2664196214976674e-24
0.5333333333333333,0.20896353480645705,0.0010942797899347653,3.072302852645958e-05,7.257841154958718e-06,-2.2127562571485144e-24
0.5666666666666667,0.23505208814308715,0.001272778493452209,5.406989168092871e-05,1.122746589139038e-05,-3.677729232873829e-24
0.6,0.2626699314446391,0.0014679772599833286,9.16164922273491e-05,1.6837243073669172e-05,-5.840807470883068e-24
0.6333333333333333,0.29181629050750374,0.0016804136576203637,0.0001499856778398442,2.4562689413265577e-05,-8.898364446612063e-24
0.6666666666666666,0.32249027785503565,0.0019106187839268874,0.00023797794022406205,3.496294519582419e-05,-1.3048603543959537e-23
0.7,0.3546908703912868,0.0021591191994262023,0.00036697326618723635,4.8687242704647934e-05,-1.8471612459349373e-23
0.7333333333333333,0.3884168874361151,0.0024264385315852515,0.0005513294064704962,6.648179680188344e-05,-2.5305365370838064e-23
0.7666666666666667,0.4236669699136261,0.0027130987263582354,0.000808761610678467,8.919711728986538e-05,-3.361843420171199e-23
0.8,0.46043956143087117,0.0030196209390860296,0.0011606896330437475,0.00011779559051184208,-4.337963076438954e-23
0.8333333333333334,0.4987328919105911,0.003346526072412991,0.0016325392984021963,0.00015335904359192694,-5.442377510568527e-23
0.8666666666666667,0.5385449643355452,0.0036943349842545707,0.0022539879495762347,0.00019709591106207037,-6.641134408346091e-23
0.9,0.5798735450349657,0.004063568402295158,0.0030591455064842388,0.000250347583264575,-7.877802869075579e-23
0.9333333333333333,0.6227161578005187,0.004454746591983771,0.0040866655024962345,0.00031459353170728215,-9.066838430803942e-23
0.9666666666666667,0.6670700819693037,0.0048683888319097654,0.005379783190160555,0.0003914548725507092,-1.0084597206365463e-22
1.0,0.7129323544635898,0.005305012753624192,0.0069862805028780275,0.0004826961333681552,-1.075708317036101e-22
1.0333333333333334,0.7572182971140515,0.005760556277220714,0.00895838020508335,0.0005902251139847016,-1.0843394526122861e-22
1.0666666666666667,0.7999270413777708,0.0062320458373428195,0.011352573850774324,0.0007160908590692736,-1.0013766333294117e-22
1.1,0.8410570282964112,0.006717152899633653,0.014229390092614664,0.000862479860613757,-7.821095004442594e-23
1.1333333333333333,0.8806061895658456,0.007213966652302645,0.017653111329563636,0.001031710648962634,-3.664879213604673e-23
1.1666666666666667,0.9185720604802835,0.007720863035132638,0.021691447513501716,0.00122622688634146,3.253380425640884e-23
1.2,0.9549518583960945,0.008236423405470407,0.02641517597654232,0.0014485889541957508,1.3984120474859171e-22
1.2333333333333334,0.9897425416970359,0.00875938180704042,0.03189775518389862,0.0017014638804897836,2.9893588370999677e-22
1.2666666666666666,1.02294085701923,0.009288589861227985,0.03821491819442856,0.0019876133747577097,5.2738015077676315e-22
1.3,1.05454337930344,0.009822992885492356,0.04544424831179913,0.002309879806968541,8.47481999884871e-22
1.3333333333333333,1.08454654769017,0.010361613231016057,0.053664735203596534,0.0026711702040375382,1.287243559452745e-21
1.3666666666666667,1.1129466994420936,0.010903538227507127,0.06295630525937197,0.0030744386907433476,1.881407829061407e-21
1.4,1.1397401035938766,0.011447911018086373,0.0733993160233758,0.003522668158284576,2.6725964478653718e-21
1.4333333333333333,1.164922995677726,0.01199392317601998,0.08507400211532266,0.004018852182489028,3.712528188444198e-21
