Time (h),CSF total tracer content (mmol),PAR total tracer content (mmol),PVS art. total tracer content (mmol),PVS vein total tracer content (mmol),PVS cont. total tracer content (mmol)
0.0,0.0,0.0,0.0,0.0,0.0
0.03333333333333333,0.0005549507381758632,6.030720155521305e-07,1.324261479942027e-15,8.301284012937102e-15,-9.540468960773295e-36
0.06666666666666667,0.0016643917279114974,2.268462255560134e-06,2.7597232017335367e-14,1.4016104987896653e-13,-2.6462578924855037e-34
0.1,0.003327948234151741,5.369920030303058e-06,2.9241981566175524e-13,1.2097077878074513e-12,-3.664723089219569e-33
0.13333333333333333,0.00554530132980573,1.022555628819439e-05,2.1022381287646426e-12,7.121232152838307e-12,-3.391555618002334e-32
0.16666666666666666,0.008316170665699875,1.7115022669338047e-05,1.1543656548863341e-11,3.2190692611546847e-11,-2.3654987557937996e-31
0.2,0.011640303757887594,2.629016692084551e-05,5.167589885935616e-11,1.1927518938394817e-10,-1.3286764138901929e-30
0.23333333333333334,0.015517468989661916,3.798193824498259e-05,1.9655664944597307e-10,3.7760549105252697e-10,-6.2694218553195654e-30
0.26666666666666666,0.01994745084060906,5.24049907524865e-05,6.537305935541485e-10,1.0512359975553268e-09,-2.559064842438965e-29
0.3,0.024930046441423853,6.976082840585742e-05,1.94168379918497e-09,2.6286695695098472e-09,-9.233278508797747e-29
0.3333333333333333,0.03046506284660437,9.024001972129898e-05,5.234197907506708e-09,6.000732991516035e-09,-2.9940067965804728e-28
0.36666666666666664,0.036552314580257796,0.0001140238261706061,1.297103061899294e-08,1.2667579270381828e-08,-8.840643096871584e-28
0.4,0.043191621112014834,0.0001412854700028072,2.985823178176023e-08,2.498831785510805e-08,-2.4026777038193435e-27
0.43333333333333335,0.05038280399326927,0.00017219118679428973,6.439509601255955e-08,4.6460337534372955e-08,-6.0637981150612565e-27
0.4666666666666667,0.05812568344580285,0.00020690115203018096,1.3106259128016423e-07,8.201176699776138e-08,-1.4318152039283427e-26
0.5,0.06642007425468274,0.00024557033219149845,2.53287050270053e-07,1.3829068740088376e-07,-3.1835256693204533e-26
0.5333333333333333,0.07526578087926483,0.000288349284549422,4.672534933226483e-07,2.2393846647163914e-07,-6.702260863649915e-26
0.5666666666666667,0.08466259176099064,0.0003353849127762553,8.265891347208311e-07,3.4984071332204585e-07,-1.342565546845828e-25
0.6,0.09461027287228847,0.0003868211750089071,1.4078757669438745e-06,5.293561052108252e-07,-2.5698706664085544e-25
0.6333333333333333,0.10510856061367799,0.0004427997352502452,2.316887050835731e-06,7.785289744876231e-07,-4.718468835632055e-25
0.6666666666666666,0.11615715422209363,0.0005034605466378717,3.6953899065097227e-06,1.1162947977753675e-06,-8.33838161931205e-25
0.7,0.1277557078990307,0.0005689423552353099,5.728303253802617e-06,1.5646880492665024e-06,-1.4225909941602112e-24
0.7333333333333333,0.13990382289941808,0.0006393831149578569,8.650975360480333e-06,2.149059453262033e-06,-2.3495964281291093e-24
0.7666666666666667,0.15260103984017134,0.0007149203075005923,1.2756324230392266e-05,2.898305264452454e-06,-3.7662233868206435e-24
0.8,0.16584683149039783,0.0007956911651943849,1.8401583581824164e-05,3.8451059042759016e-06,-5.872246410059622e-24
0.8333333333333334,0.1796405962939506,0.000881832799091436,2.6014408874161456e-05,5.026166216499171e-06,-8.924550302365484e-24
0.8666666666666667,0.1939816528505022,0.0009734822388129404,3.609812184589675e-05,6.4824457152525944e-06,-1.3245646311723908e-23
0.9,0.20886923554576722,0.0010707763943835452,4.923590612669108e-05,8.2593650907595e-06,-1.9231635992443869e-23
0.9333333333333333,0.22430249147626113,0.001173851953131876,6.609380845444715e-05,1.0406975134276625e-05,-2.735929278290033e-23
0.9666666666666667,0.2402804787633422,0.001282845226584513,8.742244742906853e-05,1.2980076013993403e-05,-3.819199330167979e-23
1.0,0.25680216629648045,0.0013978919630752388,0.0001140573819404089,1.603827808298426e-05,-5.2384313679484574e-23
1.0333333333333334,0.27275653341530637,0.0015179209975716575,0.00014691814167254891,1.9645999566961573e-05,-7.068520294140902e-23
1.0666666666666667,0.2881432963435457,0.0016421478369381501,0.0001870059696650837,2.3872400866650456e-05,-9.393974758151148e-23
1.1,0.3029619179833904,0.0017699578003658235,0.00023540036915805783,2.8791258925911527e-05,-1.2308964201416718e-22
1.1333333333333333,0.3172116726410216,0.0019008461199929434,0.0002932545812690845,3.448078707951997e-05,-1.5917257303343447e-22
1.1666666666666667,0.33089168624164833,0.0020343834285312798,0.00036179014368315193,4.102340505685888e-05,-2.0332080892893034e-22
1.2,0.34400096423451143,0.0021701943285854708,0.000442290690284281,4.850546025327433e-05,-2.567593531439534e-22
1.2333333333333334,0.35653841259539765,0.002307943500837157,0.0005360951440276445,5.7016896291353694e-05,-3.2080407694502757e-22
1.2666666666666666,0.3685028547071543,0.0024473264572681445,0.0006445904274496197,6.66508609073379e-05,-3.968602843893983e-22
1.3,0.3798930457368204,0.0025880632537064563,0.000769203766451845,7.750324521871962e-05,-4.864221843394806e-22
1.3333333333333333,0.39070768556015306,0.0027298941050705153,0.0009113945969559366,8.967215213093078e-05,-5.910737458395096e-22
