Time (h),CSF total tracer content (mmol),PAR total tracer content (mmol),PVS art. total tracer content (mmol),PVS vein total tracer content (mmol),PVS cont. total tracer content (mmol)
0.0,0.0,0.0,0.0,0.0,0.0
0.03333333333333333,0.0005549508620402114,6.030490381058692e-07,7.837541495030954e-16,8.23657107587575e-15,1.1956003590588538e-13
0.06666666666666667,0.001664391981266666,2.2683777457685996e-06,1.8121449001462375e-14,1.3899395789055892e-13,1.967814137816017e-12
0.1,0.0033279484665726428,5.369719559511202e-06,2.0712532036318463e-13,1.1986328086353293e-12,1.6600277710635677e-11
0.13333333333333333,0.0055453012260492885,1.0225150670401561e-05,1.5761917067387902e-12,7.04898788713981e-12,9.57563033150972e-11
0.16666666666666666,0.00831616969763993,1.7114217952370875e-05,9.040867643481691e-12,3.1828663273251676e-11,4.251391538306417e-10
0.2,0.011640301031213563,2.628847197137468e-05,4.1870402166414114e-11,1.1779119606830517e-10,1.5504565056456764e-09
0.23333333333333334,0.015517462879797328,3.7978121668959915e-05,1.6358253762575094e-10,3.7242255120589743e-10,4.840488166549619e-09
0.26666666666666666,0.019947438259009215,5.239619057858089e-05,5.557790764251939e-10,1.0353641177980812e-09,1.331199498085283e-08
0.3,0.02493002152370029,6.974095364647957e-05,1.679182324788131e-09,2.5851366265392208e-09,3.293403728464857e-08
0.3333333333333333,0.030465014823978228,9.019714242838245e-05,4.589267852217722e-09,5.892027305040292e-09,7.448712244640153e-08
0.36666666666666664,0.03655222459775974,0.00011393626342550349,1.1499979094802196e-08,1.241721908966499e-08,1.5598097927446734e-07
0.4,0.04319145779435236,0.00014111630616474096,2.6711499207909538e-08,2.445088234963297e-08,3.055505400341952e-07
0.43333333333333335,0.0503825176259336,0.00017188108402892908,5.803052981491795e-08,4.5375639192562064e-08,5.646749099413354e-07
0.4666666666666667,0.05812519871995476,0.00020635942746281477,1.1880854951828688e-07,7.993840664833952e-08,9.915178087278151e-07
0.5,0.06641928160090245,0.0002446644222536244,2.3070233222831245e-07,1.3451406095622268e-07,1.6641803190188342e-06
0.5333333333333333,0.07526452647031752,0.00028689284958195455,4.2722239236300823e-07,2.1734839115688287e-07,2.6836870032310598e-06
0.5666666666666667,0.08466066628576506,0.0003331249399831412,7.580831486339965e-07,3.3877417505030154e-07,4.17658478464015e-06
0.6,0.09460739916849703,0.0003834245043860688,1.294309854902531e-06,5.114011380386713e-07,6.297105767687248e-06
0.6333333333333333,0.1051043802002989,0.00043783945742946576,2.1339987982104516e-06,7.502863013833478e-07,9.228915230181964e-06
0.6666666666666666,0.11615121270480927,0.0004964027062787635,3.4085751859393874e-06,1.0730945311339766e-06,1.3186522007475777e-05
0.7,0.12774743914762118,0.000559133345735232,5.289352080778004e-06,1.500259428562692e-06,1.841646264189993e-05
0.7333333333333333,0.13989253183093198,0.0006260380793533886,7.994166209290324e-06,2.0551522641727908e-06,2.519838016022604e-05
0.7666666666666667,0.15258588359956365,0.0006971127767580566,1.179385318757533e-05,2.7642622337544294e-06,3.384610464950961e-05
0.8,0.16582679881096365,0.0007723440782934813,1.701832511755842e-05,3.6573860042416085e-06,4.470881058831002e-05
0.8333333333333334,0.17961448484942244,0.0008517109676046123,2.4062026315247427e-05,4.767819452725301e-06,5.817228170646093e-05
0.8666666666666667,0.19394804447707886,0.0009351862483234253,3.3388566499505196e-05,6.132540623174206e-06,7.466026520863653e-05
0.9,0.208826469312847,0.001022737880157742,4.5534363300132004e-05,7.792370833251743e-06,9.463585035444972e-05
0.9333333333333333,0.2242486347085931,0.0011143301499154175,6.111116550205919e-05,9.792100772014899e-06,0.00011860276734767425
0.9666666666666667,0.24021329625401236,0.0012099246722475018,8.080737289913533e-05,1.218057019863225e-05,0.00014710647532257013
1.0,0.25671908808746724,0.0013094812315051715,0.00010538811562771564,1.5010693079214983e-05,0.00018073489515630018
1.0333333333333334,0.27265462140048663,0.0014117523908966946,0.000135694102842067,1.8339424115503654e-05,0.00022011864407335413
1.0666666666666667,0.2880192112816296,0.0015157778327936175,0.00017263929497058025,2.2227666926521247e-05,0.0002659306418658944
1.1,0.3028118864639073,0.001620768256865214,0.00021720749300496478,2.674012775630973e-05,0.0003188849761098973
1.1333333333333333,0.3170314550813009,0.0017260462129231637,0.00027044796983537596,3.194512043113375e-05,0.0003797349250208058
1.1666666666666667,0.3306765467870232,0.0018310123637105546,0.0003334702899255263,3.791432746090378e-05,0.0004492700310467884
1.2,0.3437456434049732,0.001935124971230758,0.00040743847160022614,4.4722518583345845e-05,0.000528312094240343
1.2333333333333334,0.3562371035458094,0.0020378871936370248,0.0004935646375628072,5.2447223017688085e-05,0.0006177099254701902
1.2666666666666666,0.36814918399434754,0.0021388394448092533,0.0005931022711954816,6.116834785731668e-05,0.0007183326923771588
1.3,0.3794800594873346,0.0022375552619598176,0.0007073391481714661,7.096773525508007e-05,0.0008310617334337614
1.3333333333333333,0.3902278418782872,0.0023336397015458962,0.0008375899484651608,8.19286569400039e-05,0.0009567808206555501
1.3666666666666667,0.4003905993117784,0.0024267295632657074,0.0009851884816075333,9.413525543054334e-05,0.0010963650081165406
1.4,0.4099663757779504,0.00251649487319463,0.0011514793909017877,0.00010767195409386375,0.0012506683777913068
1.4333333333333333,0.4189532112428008,0.002602641120872471,0.0013378091547619206,0.00012262286883888055,0.001420511142914808
1.4666666666666666,0.42734916242980303,0.0026849117900837327,0.0015455161876167182,0.00013907125911653473,0.0016066666547193994
1.5,0.43515232425169453,0.002763090776553665,0.0017759198655233775,0.00015709905324885385,0.0018098488618821277
1.5333333333333334,0.44236085184348395,0.002837004358712197,0.0020303083618855773,0.00017678647347095725,0.0020307006960104206
1.5666666666666667,0.44897298311609646,0.002906522478700142,0.002309925268544289,0.00019821177197916582,0.00226978372173073
1.6,0.45498706172072934,0.002971559191424947,0.0026159550843232386,0.00022145107429558352,0.002527569226854797
1.6333333333333333,0.4604015602774224,0.003032072238538925,0.0029495077626105893,0.00024657831386687185,0.0028044307680039865
1.6666666666666667,0.465215103674322,0.003088061791542509,0.003311602608897587,0.0002736652345134322,0.0031006380555038213
1.7,0.4694264921836297,0.0031395684764589714,0.0037031518988790086,0.0003027814361750374,0.0034163519745126943
1.7333333333333334,0.4730347240722754,0.003186670837901213,0.004124944642255812,0.00033399444391339145,0.003751620503377746
1.7666666666666666,0.47603901731431864,0.0032294824223444533,0.004577630944861576,0.00036736978872751964,0.004106375302493885
1.8,0.47843882994927295,0.0032681486611054167,0.00506170742282854,0.0004029710991831173,0.004480428798356949
1.8333333333333333,0.48023387858218697,0.003302843716748487,0.005577504099415063,0.0004408602128505013,0.004873471665029275
1.8666666666666667,0.4814241544987149,0.0033337674272270177,0.006125173170776211,0.00048109732418096136,0.005285070694427435
1.9,0.4820099368763983,0.003361142445122784,0.0067046799647023925,0.0005237411895028132,0.0057146671339104145
1.9333333333333333,0.4819918026159332,0.0033852116297948915,0.007315796339856865,0.0005688494098447737,0.006161575643036429
1.9666666666666666,0.48137063239353645,0.003406235712333033,0.007958096686429625,0.0006164788085687158,0.0066249840727463675
2.0,0.4801476126421425,0.003424491220252536,0.008630956597042765,0.0006666859141264115,0.007103954294966037
2.033333333333333,0.4788791841611521,0.003440871672204758,0.009333554184232137,0.0007195275497678814,0.007597424307757171
2.066666666666667,0.47756667328243263,0.0034561390211500973,0.010064873933093074,0.0007750615229684524,0.008104211813521355
2.1,0.4762117784189101,0.0034709803864740895,0.010823712899646298,0.0008333473989647531,0.00862301942212013
