SAS_bin_center_mm/s,SAS_relative_frequency,SAS_mean_velocity_mm/s,V3_V4_bin_center_mm/s,V3_V4_relative_frequency,V3_V4_mean_velocity_mm/s
0.392774874959874,0.40115551161663093,2.513073478023085,0.9456331166180568,0.4089001936454927,4.655903006307549
1.178324624879622,0.21530352700365188,,2.8368993498541704,0.18234181865588533,
1.9638743747993699,0.11659747984162812,,4.728165583090284,0.13624335519248904,
2.749424124719118,0.06609749876449489,,6.619431816326397,0.08021008739507406,
3.534973874638866,0.042274545341416045,,8.510698049562512,0.060493521155322784,
4.320523624558614,0.02950843178470526,,10.401964282798625,0.04705612363687642,
5.1060733744783615,0.021118514865696335,,12.29323051603474,0.027683508871501783,
5.8916231243981105,0.015827802838449544,,14.184496749270853,0.015804172707867804,
6.677172874317858,0.012723028232048366,,16.075762982506966,0.010793039785140662,
7.462722624237607,0.010262683333590072,,17.967029215743082,0.0059949249982701736,
8.248272374157354,0.008305765798066602,,19.85829544897919,0.003542506494057551,
9.033822124077101,0.006689150295002106,,21.749561682215308,0.002786419060649124,
9.81937187399685,0.005846235777892554,,23.640827915451418,0.00201163516523333,
10.6049216239166,0.00476871840957871,,25.532094148687534,0.0016440522219728132,
11.390471373836347,0.00420327323782033,,27.42336038192365,0.001373827321137554,
12.176021123756094,0.003917973217744924,,29.31462661515976,0.001371472589579658,
12.961570873675843,0.0032184047094651926,,31.205892848395877,0.0008086713297988733,
13.74712062359559,0.0030378142882559705,,33.097159081631986,0.0006879269708248358,
14.532670373515337,0.0027024085333861637,,34.9884253148681,0.0006245851555672396,
15.318220123435086,0.0023440449131942316,,36.87969154810422,0.0009034311387572366,
