bin_center_um_s,relative_frequency,average_velocity_um_s,max_velocity_um_s
-2.2089999999999996,0.0005251899523426313,1.0495879719826389,7.514837564598979
-2.027,0.00022525858858085275,,
-1.8449999999999998,6.17785514291696e-05,,
-1.6629999999999998,0.0,,
-1.4809999999999999,0.0,,
-1.299,0.00048090875377250784,,
-1.1169999999999998,0.0008082326727097706,,
-0.9349999999999998,0.0036566753286188347,,
-0.7529999999999999,0.0027365772135894578,,
-0.571,0.0017119975563147343,,
-0.389,0.015884264250597514,,
-0.20699999999999985,0.013720305028059945,,
-0.02499999999999969,0.04739975185818037,,
0.15700000000000025,0.09829639456614143,,
0.3390000000000002,0.12516306157714577,,
0.5210000000000001,0.11242885412148382,,
0.7030000000000001,0.09289184898822525,,
0.885,0.06170111904218111,,
1.067,0.0701502121134757,,
1.2489999999999999,0.05351189234485853,,
1.431,0.03810139606059648,,
1.613,0.04887714858780338,,
1.795,0.060348615096894626,,
1.9770000000000003,0.022524189861059692,,
2.1590000000000003,0.028151421830047353,,
2.341,0.0121973119036968,,
2.523,0.011432821554173701,,
2.705,0.005662727711209181,,
2.887,0.0064145228005392865,,
3.069,0.006214494334209012,,
3.251,0.00559906811610226,,
3.433,0.0072818332595490825,,
3.615,0.0073250058618672806,,
3.797,0.004787767751554085,,
3.979,0.015782241209088502,,
4.161,0.0021262980037879105,,
4.343,0.0024443847356318354,,
4.525,0.0025990101160319663,,
4.707,0.0014392615679338393,,
4.888999999999999,0.0013268249369219156,,
5.071,0.0015222117312276803,,
5.253,0.0012455177065814243,,
5.4350000000000005,0.00070712939273088,,
5.616999999999999,0.0,,
5.7989999999999995,0.00016534080153496897,,
5.981,0.00031822135994096347,,
6.163,0.00039303106884332054,,
6.345000000000001,0.0004121678015576146,,
6.527,0.0004159063476232869,,
6.709,0.0005144815826612989,,
