bin_center_um_s,relative_frequency,average_velocity_um_s,max_velocity_um_s
-33.974,0.0004781229028455093,12.868911478805758,60.0525301594007
-32.321999999999996,0.0005445590838700625,,
-30.669999999999998,0.00032351077169271174,,
-29.017999999999997,0.00031429827094732417,,
-27.366,0.001107934091826838,,
-25.714,0.0004453475957798158,,
-24.061999999999998,0.0008148791190330069,,
-22.409999999999997,0.0006445556545770137,,
-20.757999999999996,0.0006548486079144758,,
-19.105999999999998,0.00014478052199231578,,
-17.453999999999997,0.0004510470312599473,,
-15.801999999999998,0.0008029259761621496,,
-14.149999999999999,0.0013692580260682289,,
-12.497999999999998,0.0014215771266467736,,
-10.845999999999998,0.0019303896447291527,,
-9.193999999999999,0.002888922738213429,,
-7.541999999999998,0.00588915903063339,,
-5.889999999999999,0.006073859648939018,,
-4.2379999999999995,0.011087417396318312,,
-2.5859999999999985,0.007706989969047346,,
-0.9339999999999975,0.015812521657643536,,
0.7180000000000035,0.02626898980411963,,
2.370000000000001,0.021830107802405803,,
4.0219999999999985,0.029246971369315755,,
5.6739999999999995,0.04156066376364173,,
7.3260000000000005,0.07418467605661809,,
8.978000000000002,0.06342607849426977,,
10.630000000000003,0.0764725577921504,,
12.282,0.08457151629571784,,
13.933999999999997,0.10301240799206644,,
15.585999999999999,0.08368932331733896,,
17.238,0.11407533780439338,,
18.89,0.058165088660095496,,
20.542,0.03963286706345893,,
22.194000000000003,0.04042362850336202,,
23.846,0.015148817454010617,,
25.497999999999998,0.01946956305055662,,
27.15,0.009681495762229026,,
28.802,0.005137790157015255,,
30.454,0.0048229140196895766,,
32.106,0.004501697635878032,,
33.758,0.004656499548794432,,
35.410000000000004,0.004041837652509338,,
37.062000000000005,0.002488778262900816,,
38.714,0.003548405448767906,,
40.36599999999999,0.002177626497473416,,
42.017999999999994,0.0020748758136058263,,
43.669999999999995,0.0013798870581860948,,
45.321999999999996,0.0007788462270064632,,
46.974,0.0007149209422698286,,
