Time (h),BA_PVS_concentration_mmol_l,BA_outside_PVS_concentration_mmol_l,BA_peak_time_h,BA_lag_time_h,BA_FTA_time_h,MCA-L_PVS_concentration_mmol_l,MCA-L_outside_PVS_concentration_mmol_l,MCA-L_peak_time_h,MCA-L_lag_time_h,MCA-L_FTA_time_h,MCA-R_PVS_concentration_mmol_l,MCA-R_outside_PVS_concentration_mmol_l,MCA-R_peak_time_h,MCA-R_lag_time_h,MCA-R_FTA_time_h,MCA2-L_PVS_concentration_mmol_l,MCA2-L_outside_PVS_concentration_mmol_l,MCA2-L_peak_time_h,MCA2-L_lag_time_h,MCA2-L_FTA_time_h,MCA2-R_PVS_concentration_mmol_l,MCA2-R_outside_PVS_concentration_mmol_l,MCA2-R_peak_time_h,MCA2-R_lag_time_h,MCA2-R_FTA_time_h,ACA-A2_PVS_concentration_mmol_l,ACA-A2_outside_PVS_concentration_mmol_l,ACA-A2_peak_time_h,ACA-A2_lag_time_h,ACA-A2_FTA_time_h,ACA-A3_PVS_concentration_mmol_l,ACA-A3_outside_PVS_concentration_mmol_l,ACA-A3_peak_time_h,ACA-A3_lag_time_h,ACA-A3_FTA_time_h
0.0,0.0,0.0,2.3666666666666667,0.03333333333333333,0.9666666666666667,0.0,0.0,3.6333333333333333,0.6333333333333333,1.7,0.0,0.0,3.1,1.1,1.3666666666666667,0.0,0.0,4.233333333333333,0.7666666666666667,2.1333333333333333,0.0,0.0,3.7333333333333334,1.3666666666666667,1.8333333333333333,0.0,0.0,4.233333333333333,0.5,2.1333333333333333,0.0,0.0,4.633333333333334,1.3333333333333333,2.3666666666666667
0.03333333333333333,2.5949099320610515e-12,6.614993773973843e-11,,,,-1.7873932179046282e-20,9.72815176102551e-22,,,,4.850678276766579e-15,1.3352168421098404e-13,,,,-1.0575605652727644e-22,-7.75739627500262e-23,,,,1.5257890024626838e-19,3.39398240347059e-21,,,,-1.6485030601602245e-19,8.55839292923056e-19,,,,-3.022700904469327e-23,-4.975742985898042e-22,,,
0.06666666666666667,5.4616306942557775e-11,1.3422688324724498e-09,,,,-2.0554239076054008e-19,-1.4224547963409996e-20,,,,8.505150574932991e-14,2.238176722873173e-12,,,,-2.6719213059834476e-21,-1.8662896412180095e-21,,,,4.015712261625768e-18,1.1025164704941549e-19,,,,-2.85894594057417e-18,1.663312887417044e-17,,,,-1.351470017460245e-21,-1.1254185942526453e-20,,,
0.1,5.835340846710473e-10,1.3831917245943424e-08,,,,6.342422686826339e-18,2.3107474380470956e-21,,,,7.627747648618058e-13,1.9202600699673135e-11,,,,-3.3751331123779213e-20,-2.2616775189994124e-20,,,,5.358457490685623e-17,1.7015000298972172e-18,,,,-2.4405802857871972e-17,1.6790932930693636e-16,,,,-1.9962378510118896e-21,-7.426539704384028e-20,,,
0.13333333333333333,4.223327489332542e-09,9.660960482000481e-08,,,,1.8733856680507654e-16,7.224238307743074e-18,,,,4.669159723673276e-12,1.1247423317267368e-10,,,,-2.827486544542405e-19,-1.8408385513806412e-19,,,,4.83308618748188e-16,1.7103222513805968e-17,,,,-1.3421542927209544e-16,1.173994261303839e-15,,,,2.249212964976693e-19,1.4394229165383244e-19,,,
0.16666666666666666,2.3310475982228208e-08,5.149596643404075e-07,,,,2.5385518246187805e-15,1.3556775766614625e-16,,,,2.1977804781603142e-11,5.06130668053288e-10,,,,-1.7460640780832383e-18,-1.1313632223197678e-18,,,,3.314965856162626e-15,1.2775358873984697e-16,,,,-5.14415960593065e-16,6.388203238625917e-15,,,,3.484187397220725e-18,6.444716364519765e-18,,,
0.2,1.0472595896946252e-07,2.2361071952647978e-06,,,,2.3455838678116797e-14,1.457962323111354e-15,,,,8.506390395042833e-11,1.866883780722399e-09,,,,-8.247412823732993e-18,-5.587638538948021e-18,,,,1.8445848035002887e-14,7.625322048955571e-16,,,,-1.3169663109098781e-15,2.8786748040200246e-14,,,,3.060239792605484e-17,6.334104287419742e-17,,,
0.23333333333333334,3.991441391080606e-07,8.245029769222172e-06,,,,1.6756408411613352e-13,1.142596137473166e-14,,,,2.8318005537163037e-10,5.880310930350883e-09,,,,-2.887619278367081e-17,-2.2972203499050596e-17,,,,8.676613765330406e-14,3.808041965315269e-15,,,,-1.2822562946086932e-15,1.1151692048924358e-13,,,,1.9596786541702535e-16,4.1054928744529414e-16,,,
0.26666666666666666,1.3280654821306872e-06,2.6567946818847722e-05,,,,9.858089917144943e-13,7.176528669247116e-14,,,,8.394909236080478e-10,1.626851425487088e-08,,,,-5.757412605227736e-17,-7.986809459318025e-17,,,,3.550608898144108e-13,1.6425228743535955e-14,,,,8.084794382879396e-15,3.803736804318527e-13,,,,1.0057033827412989e-15,2.0715525624083228e-15,,,
0.3,3.939676518172615e-06,7.641278161199176e-05,,,,4.962584106838058e-12,3.8024311233711013e-13,,,,2.283687971816451e-09,4.035118293761849e-08,,,,1.27070697252506e-16,-2.330406967102122e-16,,,,1.2914494311108573e-12,6.264314072398576e-14,,,,6.056800872144283e-14,1.1604263569868227e-12,,,,4.349493933597874e-15,8.711473232437766e-15,,,
