fta_BA_permeability_m_s,fta_BA_value,fta_MCA-R_permeability_m_s,fta_MCA-R_value,fta_MCA-L_permeability_m_s,fta_MCA-L_value,fta_ACA-A2_permeability_m_s,fta_ACA-A2_value,fta_ACA-A3_permeability_m_s,fta_ACA-A3_value,lag_BA_permeability_m_s,lag_BA_value,lag_MCA-R_permeability_m_s,lag_MCA-R_value,lag_MCA-L_permeability_m_s,lag_MCA-L_value,lag_ACA-A2_permeability_m_s,lag_ACA-A2_value,lag_ACA-A3_permeability_m_s,lag_ACA-A3_value,pvspeaktime_BA_permeability_m_s,pvspeaktime_BA_value,pvspeaktime_MCA-R_permeability_m_s,pvspeaktime_MCA-R_value,pvspeaktime_MCA-L_permeability_m_s,pvspeaktime_MCA-L_value,pvspeaktime_ACA-A2_permeability_m_s,pvspeaktime_ACA-A2_value,pvspeaktime_ACA-A3_permeability_m_s,pvspeaktime_ACA-A3_value,cpeak_BA_permeability_m_s,cpeak_BA_value,cpeak_MCA-R_permeability_m_s,cpeak_MCA-R_value,cpeak_MCA-L_permeability_m_s,cpeak_MCA-L_value,cpeak_ACA-A2_permeability_m_s,cpeak_ACA-A2_value,cpeak_ACA-A3_permeability_m_s,cpeak_ACA-A3_value,deltacpeak_BA_permeability_m_s,deltacpeak_BA_value,deltacpeak_MCA-R_permeability_m_s,deltacpeak_MCA-R_value,deltacpeak_MCA-L_permeability_m_s,deltacpeak_MCA-L_value,deltacpeak_ACA-A2_permeability_m_s,deltacpeak_ACA-A2_value,deltacpeak_ACA-A3_permeability_m_s,deltacpeak_ACA-A3_value
3.8e-07,0.9666666666666667,3.8e-07,1.3666666666666667,3.8e-07,1.7,3.8e-07,2.1333333333333333,3.8e-07,2.3666666666666667,3.8e-07,0.03333333333333333,3.8e-07,1.1,3.8e-07,0.6333333333333333,3.8e-07,0.5,3.8e-07,1.3333333333333333,3.8e-07,2.3666666666666667,3.8e-07,3.1,3.8e-07,3.6333333333333333,3.8e-07,4.233333333333333,3.8e-07,4.633333333333334,3.8e-07,4.260640229191166,3.8e-07,7.187978003902263,3.8e-07,7.3516116273733765,3.8e-07,6.460738201771297,3.8e-07,5.985193956557025,3.8e-07,-53.83093694174724,3.8e-07,0.8987404071042802,3.8e-07,-0.8717053157107415,3.8e-07,0.6997500440541611,3.8e-07,-0.5062337645169919
3.8e-06,0.7666666666666667,3.8e-06,1.3,3.8e-06,1.6333333333333333,3.8e-06,2.2,3.8e-06,2.5,3.8e-06,0.0,3.8e-06,0.13333333333333333,3.8e-06,0.06666666666666667,3.8e-06,0.1,3.8e-06,0.1,3.8e-06,2.3333333333333335,3.8e-06,3.1333333333333333,3.8e-06,3.6333333333333333,3.8e-06,4.4,3.8e-06,4.9,3.8e-06,16.874470615094655,3.8e-06,16.613529817283236,3.8e-06,17.54866365958395,3.8e-06,11.7895682462555,3.8e-06,11.619625615968207,3.8e-06,-16.572701313346737,3.8e-06,2.062908681144478,3.8e-06,0.27791995424743376,3.8e-06,0.4992645978400674,3.8e-06,0.01935528580723478
3.8e-05,0.7333333333333333,3.8e-05,1.3333333333333333,3.8e-05,1.6666666666666667,3.8e-05,2.3,3.8e-05,2.6333333333333333,3.8e-05,0.0,3.8e-05,0.0,3.8e-05,0.03333333333333333,3.8e-05,0.03333333333333333,3.8e-05,0.03333333333333333,3.8e-05,2.3,3.8e-05,3.1666666666666665,3.8e-05,3.6333333333333333,3.8e-05,4.5,3.8e-05,4.966666666666667,3.8e-05,23.439315001376524,3.8e-05,21.09722577510509,3.8e-05,21.558377610980212,3.8e-05,13.462161192082004,3.8e-05,13.556772523924135,3.8e-05,-1.9422653419937745,3.8e-05,0.35306625815526615,3.8e-05,0.034556793379341144,3.8e-05,0.305899668453673,3.8e-05,0.0024208061683932414
