Time (h),CSF mean concentration (mmol/l),PAR mean concentration (mmol/l),PVS art. mean concentration (mmol/l),PVS vein mean concentration (mmol/l),PVS cont. mean concentration (mmol/l)
0.0,0.0,0.0,0.0,0.0,0.0
0.16666666666666666,0.02308860160535117,6.494593864473504e-05,5.015186664041395e-10,9.204867886004124e-10,9.845597922211871e-09
0.3333333333333333,0.08458154732527572,0.00034228564712829833,2.571676220412625e-07,1.7039199219378825e-07,1.7240311135369768e-06
0.5,0.1844031702243864,0.000928464481459149,1.3063384536496117e-05,3.889077355385372e-06,3.843855245239031e-05
0.6666666666666666,0.32247638582003907,0.0018836757980203191,0.0001951939913657183,3.099896399398734e-05,0.00030320430643155044
0.8333333333333334,0.49867235083400946,0.0032310670451334285,0.0013936125887824549,0.00013744540499040935,0.0013275170510481072
1.0,0.7127402245315303,0.004963251254757498,0.006169125586750379,0.0004311008488803079,0.004083227483465466
1.1666666666666667,0.9180669791155294,0.006924784709231596,0.019709996406821046,0.001082779139179381,0.01003848150724059
1.3333333333333333,1.0833897406960504,0.00878497907798719,0.049937216649425645,0.0023217805272729474,0.021152940767755014
1.5,1.2080920198259588,0.01031075804808819,0.10670044978642382,0.004405727737903313,0.03963718630819144
1.6666666666666667,1.291522133133862,0.011346300016160929,0.20033702897187738,0.007565927878440688,0.067337886420376
1.8333333333333333,1.3331856289579727,0.011825464879866802,0.3395128156681878,0.011954424581070239,0.10500984637603236
2.0,1.332944155456534,0.011766107294590393,0.5284166029122813,0.01762059310595259,0.1518932845764675
2.1666666666666665,1.3142520881773787,0.011311496891810656,0.7644662502293981,0.024517001734453463,0.20558488475276598
2.3333333333333335,1.293311036271484,0.010728299406715668,1.0378581282390722,0.03254751213164121,0.262177458806553
2.5,1.2713121435606705,0.0102555967632947,1.333085845146528,0.041657949385483485,0.316852039006088
2.6666666666666665,1.2496025774656732,0.010096099312195876,1.6315269703616775,0.05193089562979443,0.3649144392269581
2.8333333333333335,1.2294260935376402,0.010390393538472879,1.9143474137761098,0.0636330482805013,0.40285414443724
3.0,1.2117151252829537,0.01120774802709028,2.165341309613103,0.0771882332486496,0.42895915414693014
3.1666666666666665,1.1969684521750008,0.012556722024330268,2.3731059076091676,0.09308733916434361,0.4434269107652167
3.3333333333333335,1.185240732998693,0.014401994797337348,2.5319394242670885,0.11175338849578634,0.4480783773305529
3.5,1.1762368715925402,0.01668314779189716,2.641436663151168,0.13339282191277765,0.4457457873298094
3.6666666666666665,1.1694598691297604,0.01933504140932399,2.7053145713912334,0.15788403121969083,0.43949945641108373
3.8333333333333335,1.1643516228007047,0.02230509026364747,2.7300383800043013,0.18474494431026525,0.4319733392091676
4.0,1.1603921243132127,0.025561753906809957,2.7235457719893503,0.21318920085610862,0.42497909836158065
4.166666666666667,1.1571517512888505,0.029092949159354693,2.6941600590064114,0.24225012241228666,0.41943898958589027
4.333333333333333,1.1543067400644749,0.03289767139122172,2.6497277966341968,0.27093578268738144,0.4155476193224603
4.5,1.151631574405076,0.036975691220933984,2.5970135460946575,0.29837670013156586,0.41303521724687353
4.666666666666667,1.1489802648273322,0.04131922730282256,2.5413658212622234,0.32393565632960625,0.41142721293193446
4.833333333333333,1.1462650034708544,0.04590856791367852,2.486632202089319,0.34726324195767017,0.4102397835745794
5.0,1.1434370418829296,0.05071181472430462,2.435268820156327,0.3682988456142916,0.4090933374472301
5.166666666666667,1.1404717282753964,0.05568772247118319,2.3885728326335562,0.3872296072498546,0.4077542518067335
5.333333333333333,1.1373578719962034,0.06079011270955177,2.3469676179071244,0.4044254834922886,0.4061279545974096
5.5,1.1340908609229718,0.06597243039787658,2.3102844085038217,0.42036709638300324,0.4042273044228241
5.666666666666667,1.1306688067281858,0.07119144630808369,2.278004083915723,0.4355777238214791,0.4021345928540516
5.833333333333333,1.1270910227937054,0.07640963357300909,2.2494426583114695,0.45056529223957087,0.399968050937021
6.0,1.123358153500646,0.08159618780354315,2.223879453141495,0.4657765487398013,0.39785735494005753
6.166666666666667,1.1194732649025572,0.08672694289168419,2.2006363702874157,0.481563863192641,0.3959283891987207
6.333333333333333,1.115443238622228,0.09178355979511009,2.1791204876528174,0.4981645283320412,0.39429537078476
6.5,1.1112799227674715,0.09675237053590838,2.158841996692475,0.51569214188077,0.3930578047963675
6.666666666666667,1.1070006746230159,0.10162319006456269,2.1394171863424565,0.5341392210783467,0.3922999893573523
6.833333333333333,1.1026281369095459,0.10638830536378358,2.120563289138612,0.5533895660423306,0.3920914259735448
7.0,1.0981892768068557,0.11104174528595673,2.1020894582749787,0.5732382185802131,0.39248718811351807
7.166666666666667,1.0937138547135354,0.11557884621060666,2.0838862749362854,0.5934163590663374,0.393527884540403
7.333333333333333,1.0892325674123364,0.1199960673667915,2.06591495955915,0.6136182820424928,0.39523925813902694
7.5,1.084775132100149,0.12429097703001159,2.0481967037920925,0.6335277311710438,0.3976316847839755
7.666666666666667,1.0803685552361573,0.12846232288307818,2.0308020913716494,0.652841312718563,0.4006999098213751
7.833333333333333,1.0760357770967064,0.13251011013241462,2.013840347208873,0.6712873484628986,0.4044233212230471
8.0,1.0717948124455576,0.13643563233666198,1.9974481124268242,0.6886392589038718,0.4087669481571785
8.166666666666666,1.0676584315693718,0.140241425648487,1.981777569888907,0.7047232774523902,0.41368322946537817
8.333333333333334,1.063634354215681,0.14393114172283594,1.9669839998152723,0.7194209004863954,0.4191144531118536
8.5,1.059725869975179,0.14750935387810388,1.9532131581640655,0.7326669223105293,0.4249956539547836
8.666666666666666,1.0559327582542262,0.1509813229818499,1.9405891549342662,0.7444441653811911,0.43125769227466354
8.833333333333334,1.052252362206844,0.15435275356547087,1.9292036867227111,0.7547760997521017,0.4378302258685349
9.0,1.0486806736488135,0.15762956798926775,1.9191074986931078,0.7637184780207918,0.4446443281308849
9.166666666666666,1.0452133069128702,0.16081771921736798,1.9103048070780704,0.7713509333807558,0.45163457800982443
9.333333333333334,1.0418462733675047,0.1639230534073581,1.9027511345373072,0.7777692450964242,0.45874053551178845
9.5,1.0385765082433107,0.16695122431371495,1.8963546540397997,0.783078713147066,0.4659076001467069
9.666666666666666,1.0354021408474061,0.1699076540569661,1.8909807697764294,0.7873888401692567,0.4730873160291228
9.833333333333334,1.0323225326486638,0.17279752994640624,1.8864593479548122,0.7908093211028951,0.4802372297160805
10.0,1.0293381314325525,0.17562582487342013,1.882593791299335,0.793447202920973,0.4873204250869552
10.166666666666666,1.0264502022519073,0.1783973289114837,1.8791710511188033,0.7954049998701881,0.4943048580392537
10.333333333333334,1.023660497759869,0.181116681496232,1.8759716894898795,0.7967795254898604,0.5011625990851412
10.5,1.0209709237302342,0.18378839619436024,1.8727792223025261,0.7976612173638906,0.5078690707584226
10.666666666666666,1.0183832430451205,0.18641687298386822,1.8693881604397078,0.7981337685704382,0.514402344377511
10.833333333333334,1.0158988462146363,0.18900639571445885,1.8656103853815587,0.7982739272998697,0.5207425404481204
11.0,1.0135186013230562,0.19156111473241613,1.8612797131931444,0.7981513729183412,0.5268713601881584
11.166666666666666,1.0112427831846051,0.19408501642681883,1.8562546902129353,0.7978286168287878,0.5327717622552312
11.333333333333334,1.0090710716667413,0.19658188267750104,1.850419807420908,0.7973609074150927,0.5384277879495208
11.5,1.007002603022587,0.19905524390937382,1.8436854111422236,0.7967961402265954,0.5438245290158974
11.666666666666666,1.0050360554860114,0.2015083297569734,1.8359866270290808,0.7961747887157442,0.5489482240296921
11.833333333333334,1.0031697507248625,0.2039440212938839,1.8272816102859182,0.7955298789241501,0.5537864620378268
12.0,1.001401755194908,0.2063648084521535,1.8175493997263918,0.7948870348930479,0.5583284658977707
12.166666666666666,0.9997299691559259,0.2087727557090452,1.806787599394066,0.7942646211827836,0.5625654231420708
12.333333333333334,0.9981521953161744,0.21116947841060843,1.7950100509808593,0.7936740053037858,0.5664908297786013
12.5,0.9966661831726717,0.21355613128873466,1.7822446024876977,0.793119956543649,0.5701008126421733
12.666666666666666,0.9952696486742104,0.2159334098724544,1.768531029720988,0.7926011891486946,0.5733943988662925
