SAS_bin_center,SAS_relative_frequency,SAS_mean_R,V3_V4_bin_center,V3_V4_relative_frequency,V3_V4_mean_R
0.12459477789103054,0.09421785434931229,0.4930625346677492,0.12459477789103054,0.0,3.157572204897297
0.1858823956632741,0.12157185377838231,,0.1858823956632741,0.0,
0.27731712036709183,0.11813166656700735,,0.27731712036709183,0.0,
0.41372817998326794,0.08859257815701316,,0.41372817998326794,0.0,
0.6172392338622436,0.06554022900134548,,0.6172392338622436,0.05386239354682691,
0.9208564711116785,0.030063786282345628,,0.9208564711116785,0.22947629775566553,
1.3738216786418767,0.01242609821446361,,1.3738216786418767,0.26481811185458004,
2.0495984596034704,0.008398872044145356,,2.0495984596034704,0.155273319863946,
3.0577868371983845,0.006244658125109215,,3.0577868371983845,0.07208189586478242,
4.561898599178605,0.006006617785084711,,4.561898599178605,0.053262603457186364,
6.805876255342628,0.0070575879283211185,,6.805876255342628,0.09496420377642378,
10.153656552422442,0.005718847072854527,,10.153656552422442,0.045276504178940136,
15.148195106195178,0.0031142620833294332,,15.148195106195178,0.0130122627510314,
22.599524987932497,0.0014508093944635148,,22.599524987932497,0.007775510734614022,
33.71613093835239,0.0007537431897711722,,33.71613093835239,0.008650030310563994,
50.300945973826,0.00040856622482798866,,50.300945973826,0.0015468659053502476,
75.04375785252554,6.358162498820707e-05,,75.04375785252554,0.0,
111.95744898234847,9.507929386032288e-07,,111.95744898234847,0.0,
167.02882080169337,0.0,,167.02882080169337,0.0,
