Time (h),CSF mean concentration (mmol/l),PAR mean concentration (mmol/l),PVS art. mean concentration (mmol/l),PVS vein mean concentration (mmol/l),PVS cont. mean concentration (mmol/l)
0.0,0.0,0.0,0.0,0.0,0.0
0.03333333333333333,0.0015407382542267192,2.2884733918925516e-06,4.2952694118941983e-14,2.3814793557308657e-13,2.7663445888787355e-12
0.06666666666666667,0.004620937058334407,8.608136335065358e-06,9.97169744983041e-13,4.01927353674669e-12,4.5553464191647806e-11
0.1,0.009239556869158944,2.0377258158411886e-05,1.1433576293832048e-11,3.4662424216840974e-11,3.84384191664743e-10
0.13333333333333333,0.015395712937896294,3.880289875229875e-05,8.723650244419871e-11,2.0384893197975308e-10,2.2175360444133216e-09
0.16666666666666666,0.023088627340412712,6.494590623417103e-05,5.01536232563036e-10,9.204572276656022e-10,9.845786770554699e-09
0.2,0.032317598969478285,9.976088775444224e-05,2.3276775420664524e-09,3.406425428907215e-09,3.5906157958414376e-08
0.23333333333333334,0.04308198355075762,0.00014412146236971894,9.112399964773988e-09,1.0770134101745395e-08,1.1209018347700753e-07
0.26666666666666666,0.055381179394530154,0.00019883603193803504,3.1021165510063455e-08,2.994164992533151e-08,3.0822737344734123e-07
0.3,0.06921461624148244,0.0002646570255398982,9.390939662058101e-08,7.47586977636246e-08,7.624347864352252e-07
0.3333333333333333,0.08458174543198692,0.00034228546654784767,2.571669283256891e-07,1.7038689376512392e-07,1.7240377143363565e-06
0.36666666666666664,0.1014820301694636,0.00043237216733821483,6.457151848598807e-07,3.590755526522909e-07,3.6092792016854654e-06
0.4,0.11991493502901714,0.0005355165960082151,1.502900035549031e-06,7.070367361478976e-07,7.067849479729555e-06
0.43333333333333335,0.1398799141457748,0.0006522643295134647,3.2718538267717003e-06,1.3120514368618479e-06,1.3056494136479555e-05
0.4666666666666667,0.1613763977279338,0.0007831039162340996,6.712877566972705e-06,2.3113066067944583e-06,2.291485083542348e-05
0.5,0.18440377669280925,0.0009284638662554538,1.306333807827331e-05,3.888977185871103e-06,3.843846207698799e-05
0.5333333333333333,0.2089613853361428,0.0010887103490951463,2.4244498668591775e-05,6.283181329622028e-06,6.194460674464532e-05
0.5666666666666667,0.23504848203341952,0.0012641460086963456,4.311680942885257e-05,9.792118804718315e-06,9.632796632861642e-05
0.6,0.2626642280533814,0.0014550101203038566,7.378181366336028e-05,1.4779401042953033e-05,0.0001451048558482058
0.6333333333333333,0.2918076646499048,0.001661480134118873,0.00012192537225875047,2.167874657967258e-05,0.0002124464509131072
0.6666666666666666,0.32247768869640236,0.0018836744952270717,0.00019519373321984438,3.0998311414102916e-05,0.00030320283774017056
0.7,0.3546730272362468,0.0021216565113911868,0.0003035913619797155,4.332493487149123e-05,0.00042292061145390137
0.7333333333333333,0.38839221143895963,0.0023754389662404957,0.0004598875768835079,5.9328513629758265e-05,0.000577857071533457
0.7666666666666667,0.42363355056690016,0.0026449891452904237,0.0006800179808675716,7.976659191176253e-05,0.00077499383431559
0.8,0.460395106657778,0.002930233951367239,0.0009834664441133836,0.00010548910553020936,0.001022051999857963
0.8333333333333334,0.49867467070592436,0.0032310648265294756,0.0013936139203709393,0.0001374430735373951,0.0013275100207263942
0.8666666666666667,0.538469741161744,0.003547342259985952,0.001938041587169774,0.00017667692014669903,0.0017006242895035782
0.9,0.5797775055660848,0.0038788997359838436,0.002648777583239258,0.0002243440482414617,0.002151451351244423
0.9333333333333333,0.6225948260787462,0.004225547053029022,0.0035624788563349613,0.0002817052801620656,0.002690869693980302
0.9666666666666667,0.6669182295570979,0.004587073018307863,0.004720542198830781,0.0003501298276842258,0.003330598375343183
1.0,0.7127439026942199,0.004963247582845015,0.006169141292279864,0.0004310945400010457,0.004083209364492501
1.0333333333333334,0.756986216036918,0.005349246583006211,0.007959189353495762,0.0005261812904313732,0.004962130425908016
1.0666666666666667,0.7996432384567241,0.005741321585661529,0.010146229621196644,0.0006370724801899101,0.00598163558793851
1.1,0.8407122404002803,0.006136358502634079,0.012790258297639153,0.0007655447361684304,0.007156820567429042
1.1333333333333333,0.8801898772885148,0.0065316523558944664,0.015955486522301724,0.000913460929273003,0.008503560710406607
1.1666666666666667,0.9180723068546968,0.0069247786649213865,0.01971004935451236,0.0010827606145311273,0.010038448816396334
1.2,0.9543552747062063,0.007313515143156579,0.02412567040414384,0.0012754488917164138,0.011778709603584701
1.2333333333333334,0.9890341832962417,0.007695793166566421,0.029277290477437577,0.0014935835442413644,0.013742086861843347
1.2666666666666666,1.0221041521232959,0.008069668588390259,0.03524266722668728,0.0017392602104407404,0.01594669915432192
1.3,1.0535600736578266,0.008433306000192407,0.04210195025404245,0.002014595357680631,0.01841086091464293
