Time (h),CSF mean concentration (mmol/l),PAR mean concentration (mmol/l),PVS art. mean concentration (mmol/l),PVS vein mean concentration (mmol/l),PVS cont. mean concentration (mmol/l)
0.0,0.0,0.0,0.0,0.0,0.0
0.03333333333333333,0.0015407414728314931,2.288601744780113e-06,6.193588270090304e-13,6.131802209496128e-13,1.3412324316786294e-37
0.06666666666666667,0.004620946647505417,8.608628548045183e-06,1.2493898544011091e-11,9.823262479235218e-12,1.3946018744151842e-31
0.1,0.009239575250658208,2.037844934096111e-05,1.2817513542832274e-10,8.036755437672007e-11,2.5043392382806127e-30
0.13333333333333333,0.015395741642099451,3.880528491011082e-05,8.924379528363007e-10,4.483479674436016e-10,2.3059914920703166e-29
0.16666666666666666,0.023088667022500703,6.495040061053992e-05,4.747705539457662e-09,1.9212101342733794e-09,1.4526828221190702e-28
0.2,0.032317649529656156,9.976954296777475e-05,2.0597676988458173e-08,6.753241250655918e-09,7.047198481904719e-28
0.23333333333333334,0.043082044280289375,0.00014413914454306363,7.595363595578684e-08,2.0306799196607914e-08,2.8094681119478457e-27
0.26666666666666666,0.05538124889519114,0.0001988737918661789,2.449756324483299e-07,5.378255904301226e-08,9.591759676826328e-27
0.3,0.06921469147553946,0.00026473815578694014,7.05809809938097e-07,1.281939582845876e-07,2.8855157036550066e-26
0.3333333333333333,0.08458181861293668,0.00034245538719503924,1.8460925932456854e-06,2.79584176891739e-07,7.81042206901806e-26
0.36666666666666664,0.1014820813259696,0.00043271328090880803,4.439834343500026e-06,5.652955401472e-07,1.9327559065659536e-25
0.4,0.11991491708626674,0.0005361690613497203,9.920304620729366e-06,1.0709629828632326e-06,4.427666401015341e-25
0.43333333333333335,0.1398797264789965,0.000653453338244139,2.0770495874589128e-05,1.9178542694568742e-06,9.485122564375743e-25
0.4666666666666667,0.16137584360544063,0.0007851735683780159,4.1044587412242656e-05,3.2702243887064284e-06,1.9158277754465875e-24
0.5,0.18440250007351797,0.0009319172130967462,7.702112735851973e-05,5.342464949461518e-06,3.673466499775551e-24
0.5333333333333333,0.20895878326391135,0.001094254683266922,0.00013797313675249692,8.40597224355869e-06,6.724805992397145e-24
0.5666666666666667,0.2350435903911941,0.0012727421008424176,0.00023702453008257886,1.2795791456212522e-05,1.1810281770120579e-23
