SAS_bin_center_mm/s,SAS_relative_frequency,SAS_mean_velocity_mm/s,V3_V4_bin_center_mm/s,V3_V4_relative_frequency,V3_V4_mean_velocity_mm/s
0.06755860445479821,0.41072248083868146,0.4223800237699942,0.3691019584221203,0.4089001936454927,1.8173026686357447
0.2026758133643946,0.21576326673296425,,1.107305875266361,0.18233615433124006,
0.337793022273991,0.11476412310914971,,1.8455097921106014,0.13624901951713428,
0.47291023118358744,0.0642967775619427,,2.583713708954842,0.08021008739507406,
0.6080274400931839,0.0411753422372214,,3.321917625799083,0.060493521155322784,
0.7431446490027802,0.028396062119254148,,4.060121542643323,0.04705612363687642,
0.8782618579123767,0.020549922510211954,,4.798325459487564,0.027683508871501783,
1.013379066821973,0.015394907778165915,,5.536529376331805,0.015804172707867804,
1.1484962757315695,0.01220567697500821,,6.274733293176045,0.010793039785140662,
1.283613484641166,0.009937381363703384,,7.012937210020286,0.0059949249982701736,
1.4187306935507624,0.00787123401093662,,7.751141126864526,0.003542506494057551,
1.5538479024603586,0.006652854795423485,,8.489345043708767,0.002786419060649124,
1.688965111369955,0.005525301669750524,,9.227548960553008,0.00201163516523333,
1.8240823202795515,0.0045784570516582,,9.965752877397247,0.0016440522219728132,
1.959199529189148,0.004193560688160326,,10.703956794241488,0.001373827321137554,
2.0943167380987444,0.0035746667026843658,,11.44216071108573,0.001371472589579658,
2.229433947008341,0.00309020963297829,,12.180364627929968,0.0008086713297988733,
2.3645511559179373,0.0029551753470787125,,12.91856854477421,0.0006879269708248358,
2.4996683648275337,0.0026477063251313373,,13.656772461618452,0.0006245851555672396,
2.63478557373713,0.002331809373744352,,14.39497637846269,0.0009034311387572366,
