Timepoint,modelA_CSF_content_mmol,modelA_parenchyma_content_mmol,modelA_PVS_artery_content_mmol,modelA_PVS_vein_content_mmol,LargePVSA_CSF_content_mmol,LargePVSA_parenchyma_content_mmol,LargePVSA_PVS_artery_content_mmol,LargePVSA_PVS_vein_content_mmol,modelA-strongVM_CSF_content_mmol,modelA-strongVM_parenchyma_content_mmol,modelA-strongVM_PVS_artery_content_mmol,modelA-strongVM_PVS_vein_content_mmol,LargePVS_CSF_content_mmol,LargePVS_parenchyma_content_mmol,LargePVS_PVS_artery_content_mmol,LargePVS_PVS_vein_content_mmol
1h,0.25671949975057795,0.001307876303487781,0.00011227524819940689,1.4906301042567205e-05,0.2565908171284499,0.001268583194025637,0.00018249352075176518,2.8705849262127854e-05,0.25671908808746724,0.0013094812315051715,0.00010538811562771564,1.5010693079214983e-05,0.256592867869289,0.0012688440427272728,0.0001802773485380369,2.8750729782034605e-05
3h,0.43602578523393765,0.002961194277469141,0.03939507339257325,0.0026353782750128778,0.3909390223298075,-0.00015747603386770257,0.07199650119586655,0.00405137256449288,0.4343845200940733,0.005518360883323863,0.03426901679414532,0.003820615381393594,0.39104254906687036,0.00018952975861888605,0.0699273919949018,0.004348316344684032
6h,0.3952319951280511,0.021230051633199725,0.040391108863461075,0.01496033069855349,0.3484808488239165,0.01191116909498588,0.08017337152766334,0.022146466801557685,0.3687161775239957,0.036867411375680864,0.02924126278004766,0.022534241455095423,0.32163902857076576,0.01674179735411886,0.0861693296994988,0.03134411382043409
12h,0.2794310183996283,0.05112386791865151,0.031038293760061054,0.025388522071760736,0.24960915284295548,0.03582192297465158,0.06020747535822091,0.046413806014595965,0.23370025671045816,0.08441569554509756,0.01276051419536225,0.021048749741576073,0.22139458195879835,0.044541214469853437,0.057575972977755685,0.05780509028639963
24h,0.10257874963176604,0.06443464827776374,0.009794534600681306,0.014690591018513166,0.10035756599172377,0.048807394135022025,0.03086252785082199,0.03597231995695933,0.06340904030121973,0.09651093898374215,0.002064048251487891,0.009129193751046878,0.08762833730175695,0.06349227292405137,0.017821258570530768,0.03326417912879153
