SAS_bin_center_μm/s,SAS_relative_frequency,SAS_mean_velocity_μm/s,V3_V4_bin_center_μm/s,V3_V4_relative_frequency,V3_V4_mean_velocity_μm/s
0.21519843309268288,0.1979479489920012,2.5695452142866264,14.123488161069327,0.4089001936454927,69.53806934400176
0.6455952992780487,0.1569700897401862,,42.37046448320798,0.18233615433124006,
1.0759921654634144,0.13183667510146807,,70.61744080534663,0.13625582744991455,
1.5063890316487802,0.10649062399059397,,98.8644171274853,0.08020327946229379,
1.936785897834146,0.08136457258879021,,127.11139344962393,0.060493521155322784,
2.3671827640195118,0.06048783791021178,,155.3583697717626,0.04702189344400491,
2.7975796302048774,0.04314557945288183,,183.60534609390123,0.027717739064373286,
3.2279764963902435,0.03204271563283684,,211.8523224160399,0.015804172707867804,
3.6583733625756087,0.025195888959619796,,240.09929873817856,0.010819980089795197,
4.088770228760975,0.020183657882825175,,268.3462750603172,0.00596798469361564,
4.51916709494634,0.016854389265952695,,296.59325138245583,0.003542506494057551,
4.949563961131707,0.013765941408154792,,324.84022770459455,0.002786419060649124,
5.379960827317072,0.01243210062527982,,353.08720402673316,0.00201163516523333,
5.8103576935024375,0.010026230222357269,,381.3341803488718,0.0016440522219728132,
6.240754559687804,0.008309924891395747,,409.5811566710105,0.001373827321137554,
6.67115142587317,0.007676318995289502,,437.8281329931491,0.001371472589579658,
7.101548292058535,0.006246002438327252,,466.0751093152878,0.0008086713297988733,
7.531945158243901,0.005439377101985685,,494.3220856374264,0.0006879269708248358,
7.962342024429267,0.00485585275259116,,522.5690619595651,0.0006245851555672396,
8.392738890614632,0.004542085223647848,,550.8160382817038,0.0009034311387572366,
