SAS_bin_center,SAS_relative_frequency,SAS_mean_R,V3_V4_bin_center,V3_V4_relative_frequency,V3_V4_mean_R
0.12459477789103054,0.09612248893190456,0.7299827471244814,0.12459477789103054,0.0,21.29333213512055
0.1858823956632741,0.09662006107682763,,0.1858823956632741,0.0,
0.27731712036709183,0.12632897841195245,,0.27731712036709183,0.0,
0.41372817998326794,0.10662904102983883,,0.41372817998326794,0.0,
0.6172392338622436,0.08433566071711318,,0.6172392338622436,0.0,
0.9208564711116785,0.058165479635286066,,0.9208564711116785,0.0,
1.3738216786418767,0.023277503521267118,,1.3738216786418767,0.0,
2.0495984596034704,0.011876068108176874,,2.0495984596034704,0.0,
3.0577868371983845,0.007640206639622171,,3.0577868371983845,0.018646941895707946,
4.561898599178605,0.006207644556813663,,4.561898599178605,0.2557555475899206,
6.805876255342628,0.005778592889909895,,6.805876255342628,0.18784027894077948,
10.153656552422442,0.006813246349219648,,10.153656552422442,0.17312004600342779,
15.148195106195178,0.006201717057008005,,15.148195106195178,0.11496255512541609,
22.599524987932497,0.003339136822702371,,22.599524987932497,0.03980297691958945,
33.71613093835239,0.0015679257332497087,,33.71613093835239,0.03895922318811773,
50.300945973826,0.0007849465271813072,,50.300945973826,0.09406322502463038,
75.04375785252554,0.00044250401258461025,,75.04375785252554,0.04570698161024267,
111.95744898234847,7.581042468796095e-05,,111.95744898234847,0.01310935116858536,
167.02882080169337,1.5327063878078917e-06,,167.02882080169337,0.007780303432947777,
